epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision,metrics/recall,metrics/mAP@50,metrics/mAP,val/box_loss,val/cls_loss,val/dfl_loss
001,2.497,3.347,2.783,0.529,0.285,0.273,0.137,1.796,2.524,2.138
002,1.628,1.765,1.804,0.625,0.448,0.478,0.259,1.556,1.946,1.857
003,1.495,1.431,1.646,0.662,0.549,0.551,0.308,1.512,1.713,1.760
004,1.404,1.246,1.547,0.725,0.545,0.599,0.352,1.437,1.543,1.671
005,1.344,1.129,1.487,0.633,0.606,0.599,0.351,1.420,1.469,1.664
006,1.308,1.063,1.450,0.694,0.624,0.659,0.400,1.360,1.387,1.588
007,1.269,0.997,1.412,0.739,0.639,0.679,0.409,1.372,1.360,1.599
008,1.258,0.970,1.399,0.686,0.678,0.691,0.422,1.325,1.283,1.547
009,1.235,0.945,1.380,0.773,0.663,0.719,0.445,1.304,1.253,1.519
010,1.225,0.914,1.371,0.758,0.683,0.724,0.454,1.296,1.238,1.516
011,1.211,0.900,1.357,0.769,0.665,0.727,0.463,1.286,1.205,1.489
012,1.194,0.871,1.338,0.745,0.697,0.734,0.463,1.270,1.156,1.489
013,1.181,0.853,1.324,0.770,0.681,0.739,0.466,1.270,1.152,1.477
014,1.184,0.839,1.324,0.733,0.725,0.749,0.477,1.274,1.177,1.479
015,1.164,0.819,1.306,0.792,0.708,0.751,0.477,1.267,1.166,1.462
016,1.159,0.819,1.304,0.803,0.705,0.755,0.491,1.245,1.123,1.446
017,1.152,0.797,1.295,0.774,0.723,0.750,0.487,1.239,1.106,1.438
018,1.144,0.788,1.287,0.815,0.737,0.777,0.506,1.239,1.088,1.438
019,1.140,0.783,1.281,0.814,0.708,0.769,0.501,1.236,1.087,1.436
020,1.137,0.774,1.279,0.810,0.745,0.787,0.514,1.226,1.078,1.431
021,1.137,0.772,1.280,0.840,0.721,0.790,0.518,1.223,1.055,1.416
022,1.124,0.762,1.268,0.845,0.749,0.794,0.522,1.228,1.053,1.428
023,1.119,0.752,1.265,0.799,0.741,0.781,0.514,1.228,1.070,1.426
024,1.116,0.744,1.262,0.807,0.746,0.793,0.521,1.213,1.034,1.411
025,1.115,0.740,1.263,0.786,0.762,0.796,0.525,1.204,1.033,1.400
026,1.108,0.733,1.258,0.832,0.743,0.800,0.528,1.211,1.040,1.402
027,1.104,0.726,1.252,0.818,0.757,0.806,0.530,1.203,1.030,1.398
028,1.099,0.720,1.246,0.829,0.750,0.803,0.526,1.199,1.004,1.394
029,1.099,0.712,1.245,0.838,0.757,0.812,0.538,1.204,1.001,1.396
030,1.097,0.713,1.244,0.822,0.772,0.818,0.546,1.190,1.000,1.386
031,1.092,0.707,1.240,0.823,0.782,0.820,0.550,1.188,0.993,1.386
032,1.094,0.701,1.242,0.840,0.762,0.820,0.549,1.186,0.984,1.378
033,1.080,0.697,1.231,0.813,0.782,0.823,0.552,1.192,0.982,1.386
034,1.083,0.694,1.236,0.855,0.774,0.833,0.562,1.175,0.972,1.372
035,1.076,0.684,1.229,0.818,0.789,0.831,0.561,1.175,0.977,1.367
036,1.080,0.686,1.230,0.834,0.782,0.826,0.559,1.184,0.973,1.380
037,1.074,0.680,1.226,0.855,0.781,0.840,0.569,1.175,0.960,1.368
038,1.070,0.673,1.222,0.849,0.769,0.831,0.563,1.175,0.953,1.366
039,1.064,0.673,1.218,0.833,0.785,0.825,0.557,1.179,0.954,1.369
040,1.059,0.662,1.213,0.856,0.781,0.836,0.568,1.182,0.956,1.379
041,1.062,0.661,1.219,0.835,0.780,0.834,0.568,1.177,0.943,1.369
